line,el,wl,Ek,n,bias,scatter,within,bias_direct,scatter_direct,n_direct,f_direct,f_rescued,blend_median,weight
181,,,,,,,,-0.2390527368283557,0.2294060122534745,775.0,0.2316198445905559,0.0,,0.9935498353124355
196,,,,,,,,-0.20729354498270425,0.1350222121642591,659.0,0.19695158398087267,0.0,,0.0004305959216839257
210,,,,,,,,0.306596668105378,0.15470930009452483,1102.0,0.32934847579199045,0.0,,0.01606867819611707
213,,,,,,,,0.07127215849971691,0.0923746879809424,402.0,0.12014345487148835,0.0,,0.0008010962157666537
216,,,,,,,,-0.4064687385314443,0.12144545208603695,896.0,0.26778242677824265,0.0,,0.0006104490405225283
237,,,,,,,,0.10066631739273646,0.10349408220600574,1041.0,0.3111177525403467,0.0,,0.002093081755821476
241,,,,,,,,-0.0781192030592166,0.115795333120286,1428.0,0.42677824267782427,0.0,,0.00021902382473920973
244,,,,,,,,-1.5404818739739312e-05,1.0497141021502897e-06,1504.0,0.44949193066347876,0.0,,0.9949451044767531
247,,,,,,,,-0.3167591645213932,0.19987345016075764,70.0,0.02092050209205021,0.0,,0.9989198986070751
251,,,,,,,,0.05162317363347313,0.11050264776647244,1069.0,0.3194859533771668,0.0,,0.0019902524568075138
254,,,,,,,,-0.3391097993125598,0.4374596520619266,52.0,0.015540944411237299,0.0,,0.9978706313501833
278,,,,,,,,-1.5519277326347947e-05,2.268174945450596e-06,3009.0,0.8992827256425583,0.0,,0.9966477112827847
330,,,,,,,,-0.3874113952960698,0.12240670325776307,270.0,0.08069336521219367,0.0,,0.0013902718193467146
334,,,,,,,,-0.1874596413795615,0.20991493764537875,217.0,0.06485355648535565,0.0,,0.0016380913895767404
335,,,,,,,,-1.492549650095043e-05,1.3221903900443975e-06,176.0,0.05260011954572624,0.0,,0.9203674585949136
372,,,,,,,,-0.2673139641939777,0.39629752748799596,767.0,0.22922893006575015,0.0,,0.9722239193908122
377,,,,,,,,0.08418834161114574,0.230834878962812,1214.0,0.36282127913927076,0.0,,0.986461255395008
382,,,,,,,,-0.20954227779344592,0.2451897614384627,2359.0,0.7050209205020921,0.0,,0.005816935499232869
385,,,,,,,,0.32092453934830445,0.9144802458938033,1172.0,0.35026897788404066,0.0,,0.00287775039329692
386,,,,,,,,0.3254942971055357,0.17650551689536229,797.0,0.23819485953377167,0.0,,0.9949012436642447
387,,,,,,,,-0.27312272064524734,0.12410543142936274,215.0,0.06425582785415421,0.0,,0.0017740543971332937
397,,,,,,,,0.07439906136204044,0.144739365419447,50.0,0.014943215780035863,0.0,,0.8786235061031397
410,,,,,,,,-1.6098775702744206e-05,0.06337691492534384,1455.0,0.43484757919904365,0.0,,0.007346409325981397
412,,,,,,,,-0.010857931435083401,0.11604056385857574,404.0,0.12074118350268978,0.0,,0.0024243363549198934
415,,,,,,,,0.14805747736425445,0.14250936632131114,322.0,0.09623430962343096,0.0,,0.9297998988612837
425,,,,,,,,-0.2824076787147938,0.13272310589994263,87.0,0.026001195457262403,0.0,,0.0012966602518883965
431,,,,,,,,-0.20745023644836458,0.12471960571670895,92.0,0.02749551703526599,0.0,,0.001116577861216958
437,,,,,,,,-1.4917672753966826e-05,4.597720723864995e-07,181.0,0.054094441123729825,0.0,,0.004209309573993682
439,,,,,,,,-2.0949336814624075e-05,0.05108623610925013,1373.0,0.41034070531978484,0.0,,0.9942581414679018
448,,,,,,,,-1.874595818662783e-05,1.0163346857609666e-06,795.0,0.23759713090257023,0.0,,0.995045238734915
478,,,,,,,,-1.5315507646107562e-05,0.039356318096879506,2039.0,0.6093843395098625,0.0,,0.4583951031505816
501,,,,,,,,0.08686108058350328,0.13913093293218282,893.0,0.26688583383144054,0.0,,0.9969768890628588
503,,,,,,,,-0.13302468350562435,0.19718931407138765,958.0,0.28631201434548714,0.0,,0.9880510840463067
506,,,,,,,,-0.2729863287890808,0.07152871267268934,82.0,0.024506873879258817,0.0,,0.02566063756668472
507,,,,,,,,0.3545579178492435,0.18855653368497025,438.0,0.13090257023311416,0.0,,0.9990235653592506
509,,,,,,,,-1.9479068043892767e-05,0.10466582019620606,1525.0,0.45576808129109386,0.0,,0.06044375868161307
511,,,,,,,,0.12502949046658784,0.22002238874796567,499.0,0.14913329348475793,0.0,,0.0018979492434872387
520,,,,,,,,0.4656112361368834,0.10889270910068229,38.0,0.011356843992827256,0.0,,0.9984314511549183
522,,,,,,,,-0.08498353491433974,0.20129772274967583,553.0,0.16527196652719664,0.0,,0.0036123510583598263
528,,,,,,,,-1.3349209112334393e-05,3.0156009066502063e-06,525.0,0.15690376569037656,0.0,,0.9993472326662024
531,,,,,,,,0.14420270852918904,0.10619232158622659,63.0,0.01882845188284519,0.0,,0.991227463747993
533,,,,,,,,-0.1159397976336276,0.10613371648748733,44.0,0.01315002988643156,0.0,,0.9552725714346173
535,,,,,,,,-0.08205056597985916,0.17305771083047164,486.0,0.1452480573819486,0.0,,0.0031546343224019254
546,,,,,,,,-0.04598626599756628,0.18381925617527523,1895.0,0.5663478780633593,0.0,,0.9751597914537382
549,,,,,,,,-0.27859171154834783,0.15046792247905405,293.0,0.08756724447101016,0.0,,0.004068854139013357
